base_id,display_name,vendor,total_requests,variant_count
gpt-5.6-sol,gpt-5.6-sol,OpenAI,4253,2
gemini-3.1-pro-preview,gemini-3.1-pro-preview,Google,3538,5
gemini-3.1-pro-preview,gemini-3.1-pro-preview,Google,3537,5
gemini-3.1-pro-preview,gemini-3.1-pro-preview,Google,3537,5
deepseek-v4-pro,deepseek-v4-pro,DeepSeek,1935,3
deepseek-v4-pro,deepseek-v4-pro,DeepSeek,1935,3
gpt-5.5,gpt-5.5,OpenAI,1745,3
gpt-5.6-luna,gpt-5.6-luna,OpenAI,1615,2
claude-opus-4-8,claude-opus-4-8,Anthropic,1573,10
claude-opus-4-8,claude-opus-4-8,Anthropic,1573,10
claude-opus-4-8,claude-opus-4-8,Anthropic,1573,10
deepseek-v4-flash,deepseek-v4-flash,DeepSeek,1478,4
deepseek-v4-flash,deepseek-v4-flash,DeepSeek,1478,4
gpt-5-mini,gpt-5-mini,OpenAI,1202,1
gpt-5.4-mini,gpt-5.4-mini,OpenAI,1162,3
gpt-5.4,gpt-5.4,OpenAI,775,3
gemini-3.1-flash-lite,gemini-3.1-flash-lite,Google,768,4
gemini-3.1-flash-lite,gemini-3.1-flash-lite,Google,768,4
claude-opus-4-7,claude-opus-4-7,Anthropic,755,10
claude-opus-4-7,claude-opus-4-7,Anthropic,755,10
claude-opus-4-7,claude-opus-4-7,Anthropic,755,10
gemini-3-flash-preview,gemini-3-flash-preview,Google,719,5
gemini-3-flash-preview,gemini-3-flash-preview,Google,719,5
gemini-3-flash-preview,gemini-3-flash-preview,Google,719,5
gpt-5-nano,gpt-5-nano,OpenAI,673,1
claude-opus-5,claude-opus-5,Anthropic,660,10
claude-opus-5,claude-opus-5,Anthropic,660,10
claude-opus-5,claude-opus-5,Anthropic,660,10
gemini-3.5-flash,gemini-3.5-flash,Google,561,4
gemini-3.5-flash,gemini-3.5-flash,Google,561,4
gemini-3.5-flash,gemini-3.5-flash,Google,560,4
claude-fable-5,claude-fable-5,Anthropic,294,5
gemini-2.5-pro,gemini-2.5-pro,Google,282,5
gemini-2.5-pro,gemini-2.5-pro,Google,282,5
gemini-2.5-pro,gemini-2.5-pro,Google,282,5
claude-sonnet-5,claude-sonnet-5,Anthropic,225,10
claude-sonnet-5,claude-sonnet-5,Anthropic,225,10
claude-sonnet-5,claude-sonnet-5,Anthropic,225,10
text-embedding-3-small,text-embedding-3-small,OpenAI,203,1
claude-sonnet-4-6,claude-sonnet-4-6,Anthropic,180,10
claude-sonnet-4-6,claude-sonnet-4-6,Anthropic,180,10
claude-sonnet-4-6,claude-sonnet-4-6,Anthropic,180,10
aion-3.0,Aion 3.0,Aion Labs,165,1
gpt-5.6-terra,gpt-5.6-terra,OpenAI,152,2
gemini-embedding-001,gemini-embedding-001,Google,114,1
gemini-3.6-flash,gemini-3.6-flash,Google,109,4
gemini-3.6-flash,gemini-3.6-flash,Google,109,4
gemini-3.6-flash,gemini-3.6-flash,Google,109,4
gpt-5,gpt-5,OpenAI,93,1
gpt-4.1-nano,gpt-4.1-nano,OpenAI,70,1
claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,Anthropic,54,6
gpt-4o-mini,gpt-4o-mini,OpenAI,40,1
aion-3.0-mini,Aion 3.0 Mini,Aion Labs,35,1
