base_id,reason,status_code,message
3d-image,request_failed,,"HTTPSConnectionPool(host='api.clavis.to', port=443): Max retries exceeded with url: /catalog/model/3d-image (Caused by ReadTimeoutError(""HTTPSConnectionPool(host='api.clavis.to', port=443): Read timed out. (read timeout=15)""))"
flux-2,request_failed,,"HTTPSConnectionPool(host='api.clavis.to', port=443): Max retries exceeded with url: /catalog/model/flux-2 (Caused by ReadTimeoutError(""HTTPSConnectionPool(host='api.clavis.to', port=443): Read timed out. (read timeout=15)""))"
flux-dev,request_failed,,"HTTPSConnectionPool(host='api.clavis.to', port=443): Max retries exceeded with url: /catalog/model/flux-dev (Caused by ReadTimeoutError(""HTTPSConnectionPool(host='api.clavis.to', port=443): Read timed out. (read timeout=15)""))"
gemini-3-pro-preview-r,request_failed,,"HTTPSConnectionPool(host='api.clavis.to', port=443): Max retries exceeded with url: /catalog/model/gemini-3-pro-preview-r (Caused by ReadTimeoutError(""HTTPSConnectionPool(host='api.clavis.to', port=443): Read timed out. (read timeout=15)""))"
gemini-3.1-flash-image,request_failed,,"HTTPSConnectionPool(host='api.clavis.to', port=443): Max retries exceeded with url: /catalog/model/gemini-3.1-flash-image (Caused by ReadTimeoutError(""HTTPSConnectionPool(host='api.clavis.to', port=443): Read timed out. (read timeout=15)""))"
glm-5.2-fast-preview,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/glm-5.2-fast-preview
mercury-edit-2,request_failed,,"HTTPSConnectionPool(host='api.clavis.to', port=443): Max retries exceeded with url: /catalog/model/mercury-edit-2 (Caused by ReadTimeoutError(""HTTPSConnectionPool(host='api.clavis.to', port=443): Read timed out. (read timeout=15)""))"
music-gen,request_failed,,"HTTPSConnectionPool(host='api.clavis.to', port=443): Max retries exceeded with url: /catalog/model/music-gen (Caused by ReadTimeoutError(""HTTPSConnectionPool(host='api.clavis.to', port=443): Read timed out. (read timeout=15)""))"
qwen-flash,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen-flash
qwen-flash-character,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen-flash-character
qwen-max,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen-max
qwen-mt-flash,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen-mt-flash
qwen-mt-lite,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen-mt-lite
qwen-mt-plus,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen-mt-plus
qwen-mt-turbo,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen-mt-turbo
qwen-plus,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen-plus
qwen-plus-character,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen-plus-character
qwen-turbo,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen-turbo
qwen-vl-max,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen-vl-max
qwen-vl-ocr,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen-vl-ocr
qwen-vl-plus,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen-vl-plus
qwen3-14b,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen3-14b
qwen3-235b-a22b,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen3-235b-a22b
qwen3-235b-a22b-instruct-2507,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen3-235b-a22b-instruct-2507
qwen3-235b-a22b-thinking-2507,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen3-235b-a22b-thinking-2507
qwen3-30b-a3b,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen3-30b-a3b
qwen3-30b-a3b-instruct-2507,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen3-30b-a3b-instruct-2507
qwen3-30b-a3b-thinking-2507,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen3-30b-a3b-thinking-2507
qwen3-8b,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen3-8b
qwen3-coder-flash,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen3-coder-flash
qwen3-coder-next,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen3-coder-next
qwen3-coder-plus,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen3-coder-plus
qwen3-max,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen3-max
qwen3-next-80b-a3b-instruct,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen3-next-80b-a3b-instruct
qwen3-next-80b-a3b-thinking,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen3-next-80b-a3b-thinking
qwen3-vl-235b-a22b-instruct,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen3-vl-235b-a22b-instruct
qwen3-vl-235b-a22b-thinking,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen3-vl-235b-a22b-thinking
qwen3-vl-flash,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen3-vl-flash
qwen3-vl-plus,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen3-vl-plus
qwen3.5-122b-a10b,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen3.5-122b-a10b
qwen3.5-27b,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen3.5-27b
qwen3.5-35b-a3b,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen3.5-35b-a3b
