base_id,display_name,vendor,total_requests,requests_24h,context_window,supports_caching,cheapest_input_per_1m_rub,cheapest_output_per_1m_rub,avg_uptime_pct,variant_count,livebench_global,livebench_math,livebench_coding,livebench_reasoning,livebench_language
claude-opus-5,Claude Opus 5,Anthropic,9027,4571,,True,10.0,400.0,95.0,8,,,,,
claude-opus-5,Claude Opus 5,Anthropic,9027,4571,,True,10.0,400.0,95.0,8,,,,,
claude-opus-5,Claude Opus 5,Anthropic,9027,4571,,True,10.0,400.0,95.0,8,,,,,
gpt-5.6-luna,gpt-5.6-luna@Azure,OpenAI,4679,1896,,True,1.0038,6.0226,83.6,3,71.9,86.3,60.0,84.7,70.2
gemini-3.1-pro-preview,gemini-3.1-pro-preview@gemini,Google,2227,265,1048576,True,25.0941,150.5646,94.3,6,79.3,91.0,57.8,84.0,85.4
gemini-3.1-pro-preview,gemini-3.1-pro-preview@gemini,Google,2227,265,1048576,True,25.0941,150.5646,94.3,6,79.3,91.0,57.8,84.0,85.4
gemini-3.1-pro-preview,gemini-3.1-pro-preview@gemini,Google,2226,265,1048576,True,25.0941,150.5646,94.3,6,79.3,91.0,57.8,84.0,85.4
gpt-5.6-terra,gpt-5.6-terra@CodexPro,OpenAI,1986,225,,True,10.0376,60.2258,61.8,3,75.5,89.5,62.1,84.9,79.9
gpt-5.6-sol,gpt-5.6-sol@Azure,OpenAI,1698,83,,True,25.0941,150.5646,77.3,3,81.0,95.5,66.7,90.2,85.9
claude-opus-4-7,claude-opus-4-7@ClaudeMax,Anthropic,1383,0,,True,62.7353,313.6763,99.9,7,77.7,92.9,63.2,87.2,77.9
claude-opus-4-7,claude-opus-4-7@ClaudeMax,Anthropic,1383,0,,True,62.7353,313.6763,99.9,7,77.7,92.9,63.2,87.2,77.9
claude-opus-4-7,claude-opus-4-7@ClaudeMax,Anthropic,1383,0,,True,62.7353,313.6763,99.9,7,77.7,92.9,63.2,87.2,77.9
gemini-3-flash-preview,gemini-3-flash-preview@geminipro,Google,882,3,1048576,True,6.2735,37.6412,87.9,5,,,,,
gemini-3-flash-preview,gemini-3-flash-preview@geminipro,Google,882,3,1048576,True,6.2735,37.6412,87.9,5,,,,,
gemini-3-flash-preview,gemini-3-flash-preview@geminipro,Google,882,3,1048576,True,6.2735,37.6412,87.9,5,,,,,
text-embedding-3-small,text-embedding-3-small@Azure,OpenAI,744,10,,False,0.2509,0.2509,93.3,2,,,,,
gemini-3.7-flash,[req]gemini-3.7-flash@request,Google,547,25,,True,9.4103,47.0514,99.6,6,,,,,
gemini-3.7-flash,[req]gemini-3.7-flash@request,Google,547,25,,True,9.4103,47.0514,99.6,6,,,,,
gemini-3.7-flash,[req]gemini-3.7-flash@request,Google,547,25,,True,9.4103,47.0514,99.6,6,,,,,
hy3,Hy3,Tencent,392,361,,True,0.0,0.0,100.0,2,,,,,
gpt-4o-mini,gpt-4o-mini,OpenAI,377,354,128000,False,1.8821,7.5282,98.5,2,,,,,
gpt-5.4-mini,gpt-5.4-mini@Azure,OpenAI,346,37,,True,3.7641,22.5847,99.9,4,67.5,78.5,53.6,71.3,71.0
gemini-3.6-flash,gemini-3.6-flash@geminipro,Google,200,5,,True,18.8206,94.1029,96.9,6,,,,,
gemini-3.6-flash,gemini-3.6-flash@geminipro,Google,200,5,,True,18.8206,94.1029,96.9,6,,,,,
gemini-3.6-flash,gemini-3.6-flash@geminipro,Google,200,5,,True,18.8206,94.1029,96.9,6,,,,,
gpt-5.5,gpt-5.5@CodexPro,OpenAI,191,5,1050000,True,25.0941,150.5646,96.0,4,81.6,95.9,64.1,89.7,87.4
deepseek-v4-flash,DeepSeek V4 Flash,DeepSeek,175,12,1000000,False,0.0,0.0,95.6,3,67.0,79.6,50.3,70.6,70.1
deepseek-v4-flash,DeepSeek V4 Flash,DeepSeek,175,12,1000000,False,0.0,0.0,95.6,3,67.0,79.6,50.3,70.6,70.1
claude-opus-4-8,Claude Opus 4.8,Anthropic,116,17,,True,10.0,400.0,98.7,8,80.4,95.3,65.3,89.7,81.4
claude-opus-4-8,Claude Opus 4.8,Anthropic,116,17,,True,10.0,400.0,98.7,8,80.4,95.3,65.3,89.7,81.4
claude-opus-4-8,Claude Opus 4.8,Anthropic,116,17,,True,10.0,400.0,98.7,8,80.4,95.3,65.3,89.7,81.4
glm-5.3,glm-5.3@Temp,Zhipu,111,66,,True,80.3011,281.0539,100.0,2,,,,,
gemini-3.1-flash-lite,gemini-3.1-flash-lite@geminipro,Google,111,99,1048576,True,3.1368,18.8206,97.5,4,,,,,
gemini-3.1-flash-lite,gemini-3.1-flash-lite@geminipro,Google,111,99,1048576,True,3.1368,18.8206,97.5,4,,,,,
glm-5.3,glm-5.3@Temp,Zhipu,111,51,,True,80.3011,281.0539,100.0,2,,,,,
claude-sonnet-4-6,claude-sonnet-4-6@claudecodecheap,Anthropic,110,0,1000000,True,37.6412,188.2058,100.0,7,74.4,87.0,57.3,84.8,76.1
claude-sonnet-4-6,claude-sonnet-4-6@claudecodecheap,Anthropic,110,0,1000000,True,37.6412,188.2058,100.0,7,74.4,87.0,57.3,84.8,76.1
claude-sonnet-4-6,claude-sonnet-4-6@claudecodecheap,Anthropic,110,0,1000000,True,37.6412,188.2058,100.0,7,74.4,87.0,57.3,84.8,76.1
gemini-2.5-flash,gemini-2.5-flash@gemini,Google,99,2,,True,3.7641,31.3676,99.5,4,,,,,
gemini-2.5-flash,gemini-2.5-flash@gemini,Google,99,2,,True,3.7641,31.3676,99.5,4,,,,,
gpt-5.4,gpt-5.4@azureopenai,OpenAI,88,8,,True,12.5471,75.2823,96.2,4,79.6,94.1,63.3,88.1,82.6
claude-sonnet-5,claude-sonnet-5,Anthropic,63,12,,True,25.0941,125.4705,95.3,7,75.9,92.9,62.9,88.7,75.0
claude-sonnet-5,claude-sonnet-5,Anthropic,63,12,,True,25.0941,125.4705,95.3,7,75.9,92.9,62.9,88.7,75.0
claude-sonnet-5,claude-sonnet-5,Anthropic,63,12,,True,25.0941,125.4705,95.3,7,75.9,92.9,62.9,88.7,75.0
gemini-2.5-pro,gemini-2.5-pro,Google,57,8,1048576,True,15.6838,125.4705,90.4,5,,,,,
gemini-2.5-pro,gemini-2.5-pro,Google,57,8,1048576,True,15.6838,125.4705,90.4,5,,,,,
gemini-2.5-pro,gemini-2.5-pro,Google,57,8,1048576,True,15.6838,125.4705,90.4,5,,,,,
claude-fable-5,claude-fable-5@claudecode,Anthropic,46,33,,True,401.5056,2007.5282,96.1,2,81.2,95.7,63.4,87.7,89.5
gpt-5-mini,gpt-5-mini@Azure,OpenAI,40,3,,False,3.1368,25.0941,70.3,2,,,,,
grok-4.6,[req]grok-4.6,xAI,38,10,,True,1.0038,3.0113,100.0,2,,,,,
grok-4.6,[req]grok-4.6,xAI,38,10,,True,1.0038,3.0113,100.0,2,,,,,
gemini-3.5-flash-lite,gemini-3.5-flash-lite@geminipro,Google,29,28,,True,12.0452,100.3764,44.2,2,,,,,
gemini-3.1-flash-image,gemini-3.1-flash-image,Google,23,3,131072,False,20.0753,2409.0338,97.8,2,,,,,
gpt-image-2-c,gpt-image-2-c,OpenAI,20,0,,False,,,100.0,1,,,,,
krea/krea-2-turbo,Krea 2 Turbo,Other,20,0,,False,,,100.0,1,,,,,
gemini-3-pro-preview,gemini-3-pro-preview-r,Google,19,3,1048576,True,25.0941,150.5646,96.0,5,,,,,
gemini-3-pro-preview,gemini-3-pro-preview-r,Google,19,3,1048576,True,25.0941,150.5646,96.0,5,,,,,
gemini-3-pro-preview,gemini-3-pro-preview-r,Google,19,3,1048576,True,25.0941,150.5646,96.0,5,,,,,
krea/krea-2-large,Krea 2 Large,Other,19,0,,False,,,100.0,1,,,,,
gemini-3.5-flash,gemini-3.5-flash@geminipro,Google,17,10,,True,18.8206,112.9235,91.7,6,76.0,88.2,60.7,82.0,84.6
gemini-3.5-flash,gemini-3.5-flash@geminipro,Google,17,10,,True,18.8206,112.9235,91.7,6,76.0,88.2,60.7,82.0,84.6
gemini-3.5-flash,gemini-3.5-flash@geminipro,Google,17,10,,True,18.8206,112.9235,91.7,6,76.0,88.2,60.7,82.0,84.6
deepseek-v4-pro,deepseek-v4-pro,DeepSeek,16,8,,False,,,100.0,2,73.7,90.7,53.6,82.7,78.1
deepseek-v4-pro,deepseek-v4-pro,DeepSeek,16,8,,False,,,100.0,2,73.7,90.7,53.6,82.7,78.1
gpt-4.1-mini,gpt-4.1-mini,OpenAI,15,4,1047576,True,5.0188,20.0753,100.0,1,,,,,
text-embedding-ada-002,text-embedding-ada-002@Azure,OpenAI,15,0,,False,1.2547,1.2547,100.0,2,,,,,
voice-clone,Voice Clone,Other,14,0,,False,,,42.9,1,,,,,
gpt-image-2-pool,GPT Image 2,OpenAI,13,0,,False,,,0.0,1,,,,,
qwen,Qwen,Alibaba,12,1,,False,,,100.0,1,,,,,
voice-tts,Voice TTS,Other,12,0,,False,,,58.3,1,,,,,
mimo-v2.5,MiMo V2.5,Xiaomi,11,3,,False,0.0,0.0,63.6,1,,,,,
gemini-3-pro-image,gemini-3-pro-image,Google,9,0,65536,False,80.3011,4818.0676,42.9,2,,,,,
dreamshaper,DreamShaper,Other,8,0,,False,,,12.5,1,,,,,
gemini-embedding-001,gemini-embedding-001,Google,8,0,,False,6.0226,6.0226,100.0,1,,,,,
grok-4.5,grok-4.5@GrokBuild,xAI,7,6,,True,1.0038,3.0113,100.0,2,78.1,90.8,63.3,87.2,82.8
claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,Anthropic,7,0,200000,True,12.5471,62.7353,100.0,5,,,,,
claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,Anthropic,7,0,200000,True,12.5471,62.7353,100.0,5,,,,,
gpt-4o,gpt-4o,OpenAI,7,6,128000,True,31.3676,125.4705,100.0,1,,,,,
grok-4.5,grok-4.5@GrokBuild,xAI,7,6,,True,1.0038,3.0113,100.0,2,78.1,90.8,63.3,87.2,82.8
laguna-s-2.1,Laguna S 2.1,Other,7,0,,False,0.0,0.0,0.0,1,,,,,
nemotron-3.5-lightning,Nemotron 3.5 Lightning,NVIDIA,7,0,,False,0.0,0.0,85.7,1,,,,,
qwen-2512,Qwen 2512,Alibaba,7,3,,False,,,100.0,1,,,,,
text-embedding-3-large,text-embedding-3-large@Azure,OpenAI,7,0,,False,1.6311,1.6311,100.0,2,,,,,
gpt-4.1,gpt-4.1,OpenAI,6,5,1047576,True,25.0941,100.3764,100.0,1,,,,,
mercury-2,Mercury 2,Other,6,0,128000,True,4.2677,12.8031,100.0,1,,,,,
mercury-edit-2,Mercury Edit 2,Other,6,0,128000,True,4.2677,12.8031,100.0,1,,,,,
gpt-5.3-codex,gpt-5.3-codex@Azure,OpenAI,5,3,,True,83.4379,667.5031,60.0,1,,,,,
gpt-5.6-sol-openai-compact,gpt-5.6-sol-openai-compact@CodexPro,OpenAI,5,0,,True,25.0941,150.5646,100.0,2,,,,,
img2img,Image-to-Image,Other,5,0,,False,,,60.0,1,,,,,
glm-5.1,[req]glm-5.1,Zhipu,4,2,,False,,,75.0,1,,,,,
bg-remover,Background Remover,Other,4,0,,False,,,75.0,1,,,,,
face-swap,Face Swap,Other,4,0,,False,,,75.0,1,,,,,
juggernaut-xl,Juggernaut XL,Other,4,0,,False,,,100.0,1,,,,,
kimi-k3,kimi-k3,Moonshot,4,4,,True,401.5056,2007.5282,100.0,1,,,,,
realtime-sd,Realtime SD,Other,4,0,,False,,,100.0,1,,,,,
uncrop,Uncrop / Outpaint,Other,4,0,,False,,,75.0,1,,,,,
z-image,Z-Image,Other,4,0,,False,,,100.0,1,,,,,
claude-opus-4-5-thinking,[req]claude-opus-4-5-thinking,Anthropic,3,0,200000,False,,,100.0,1,74.1,90.4,55.7,80.1,81.3
controlnet,ControlNet,Other,3,0,,False,,,66.7,1,,,,,
dolphin-mistral,Dolphin Mistral,Other,3,0,32768,False,8.2811,16.5621,100.0,1,,,,,
flux2-klein-4b,Flux 2 Klein 4B,Other,3,0,,False,,,100.0,1,,,,,
gpt-5.2,gpt-5.2,OpenAI,3,3,,True,83.4379,667.5031,100.0,1,76.1,93.2,60.6,83.2,79.8
inpaint,Inpaint,Other,3,0,,False,,,66.7,1,,,,,
mythomax-13b,MythoMax 13B,Other,3,0,8192,False,10.3513,20.7026,100.0,1,,,,,
pony-realism,Pony Realism,Other,3,0,,False,,,66.7,1,,,,,
super-resolution,Super Resolution,Other,3,0,,False,,,66.7,1,,,,,
voice-cover,Voice Cover,Other,3,0,,False,,,66.7,1,,,,,
wan-2.2-t2i,Wan 2.2,Other,3,0,,False,,,100.0,1,,,,,
3d-text,Text-to-3D,Other,2,0,,False,,,100.0,1,,,,,
claude-opus-4-6,claude-opus-4-6-r,Anthropic,2,0,1000000,True,62.7353,313.6763,100.0,7,75.9,89.3,60.7,88.7,83.3
claude-opus-4-5-20251101,claude-opus-4-5-20251101@claudecode,Anthropic,2,0,,True,100.3764,501.882,50.0,2,74.1,90.4,55.7,80.1,81.3
claude-opus-4-6,claude-opus-4-6-r,Anthropic,2,0,1000000,True,62.7353,313.6763,100.0,7,75.9,89.3,60.7,88.7,83.3
claude-opus-4-6,claude-opus-4-6-r,Anthropic,2,0,1000000,True,62.7353,313.6763,100.0,7,75.9,89.3,60.7,88.7,83.3
cogvideo-x,CogVideoX,Other,2,0,,False,,,100.0,1,,,,,
gemini-2.5-flash-image,gemini-2.5-flash-image@geminipro,Google,2,0,32768,False,,,0.0,2,,,,,
gemini-3.1-flash-lite-preview,gemini-3.1-flash-lite-preview@geminipro,Google,2,0,1048576,True,10.0376,60.2258,75.0,2,,,,,
grok-build-latest,grok-build-latest@GrokBuild,xAI,2,1,,True,0.5019,1.0038,100.0,1,,,,,
nemotron-3-ultra,Nemotron 3 Ultra,NVIDIA,2,0,,False,0.0,0.0,50.0,1,,,,,
realtime-flux,Realtime Flux,Other,2,0,,False,,,100.0,1,,,,,
sdxl-lightning,SDXL Lightning,Other,2,0,,False,,,100.0,1,,,,,
video-txt-ultra,Text-to-Video Ultra,Other,2,0,,False,,,100.0,1,,,,,
3d-image,Image-to-3D,Other,1,0,,False,,,100.0,1,,,,,
glm-5.2,GLM-5.2,Zhipu,1,0,1000000,True,80.3011,281.0539,100.0,2,73.9,89.8,63.0,78.6,76.2
composer-2.5,composer-2.5@GrokBuild,Other,1,1,,True,0.2509,1.2547,100.0,1,,,,,
flux,Flux,Other,1,0,,False,,,100.0,1,,,,,
flux-kontext,Flux Kontext,Other,1,0,,False,,,100.0,1,,,,,
flux-schnell,Flux Schnell,Other,1,0,,False,,,100.0,1,,,,,
gemini-2.5-flash-lite,gemini-2.5-flash-lite@geminipro,Google,1,1,1048576,True,7.5282,30.1129,0.0,1,,,,,
gemini-3-pro-image-preview,gemini-3-pro-image-preview,Google,1,0,65536,False,,,0.0,1,,,,,
glm-5.2,GLM-5.2,Zhipu,1,0,1000000,True,80.3011,281.0539,100.0,2,73.9,89.8,63.0,78.6,76.2
krea/krea-1,Krea 1,Other,1,0,,False,,,100.0,1,,,,,
krea/krea-2-medium,Krea 2 Medium,Other,1,0,,False,,,100.0,1,,,,,
music-gen,Music Generation,Other,1,0,,False,,,100.0,1,,,,,
realistic-vision,Realistic Vision,Other,1,0,,False,,,100.0,1,,,,,
sdxl-base,SDXL Base,Other,1,0,,False,,,100.0,1,,,,,
video-txt,Text-to-Video,Other,1,0,,False,,,100.0,1,,,,,
claude-opus-4-5,[req]claude-opus-4-5,Anthropic,0,0,200000,False,,,100.0,1,74.1,90.4,55.7,80.1,81.3
claude-opus-4-6-thinking,claude-opus-4-6-thinking-r,Anthropic,0,0,1000000,True,62.7353,313.6763,100.0,3,75.9,89.3,60.7,88.7,83.3
claude-opus-4-7-thinking,[req]claude-opus-4-7-thinking,Anthropic,0,0,1000000,False,,,100.0,1,77.7,92.9,63.2,87.2,77.9
claude-sonnet-4-6-thinking,[req]claude-sonnet-4-6-thinking,Anthropic,0,0,1000000,True,37.6412,188.2058,100.0,3,74.4,87.0,57.3,84.8,76.1
glm-5.3-flash,glm-5.3-flash@Temp,Zhipu,0,0,,True,4.0151,14.0527,100.0,2,,,,,
claude-opus-4-6-thinking,claude-opus-4-6-thinking-r,Anthropic,0,0,1000000,True,62.7353,313.6763,100.0,3,75.9,89.3,60.7,88.7,83.3
